AddressCode;AddressText;ObjectCode;CompletedAt;UsageCode;UsageLabel;Area;FloorCount;FlatCount;ElevatorCode;ElevatorLabel
22348522;Sokolovská 1/69, Praha, 18600;22212086;NULL;6;bytový dům;NULL;NULL;42;NULL;NULL
22348531;Sokolovská 4/41, Praha, 18600;22212108;NULL;6;bytový dům;NULL;1;21;1;S výtahem
22348743;Sokolovská 26/12, Praha, 18600;22212299;NULL;17;stavba pro dopravu;NULL;NULL;0;9;Nezjištěno
22348930;Sokolovská 40/57, Praha, 18600;22212434;NULL;3;objekt k bydlení;NULL;1;38;1;S výtahem
22349103;Křižíkova 56/75, Praha, 18600;22212574;NULL;3;objekt k bydlení;NULL;1;25;1;S výtahem
22349120;Karlínské náměstí 59/12, Praha, 18600;22212591;NULL;14;stavba pro administrativu;535;7;0;1;S výtahem
22349286;Pobřežní 77/11, Praha, 18600;22212736;NULL;3;objekt k bydlení;NULL;1;4;2;Bez výtahu
22349472;Sokolovská 92/74, Praha, 18600;22212884;NULL;3;objekt k bydlení;NULL;1;20;1;S výtahem
22349511;Pobřežní 95/74, Praha, 18600;22212914;NULL;3;objekt k bydlení;NULL;1;7;2;Bez výtahu
22349529;Pobřežní 97/40, Praha, 18600;22212922;NULL;3;objekt k bydlení;NULL;1;13;2;Bez výtahu
22349618;Sokolovská 105/76, Praha, 18600;22213007;NULL;3;objekt k bydlení;NULL;NULL;16;NULL;NULL
22349791;Pobřežní 122/70, Praha, 18600;22213171;NULL;6;bytový dům;NULL;1;38;1;S výtahem
22349901;Sokolovská 131/86, Praha, 18600;22213261;NULL;1;průmyslový objekt;NULL;1;0;9;Nezjištěno
22350098;Křižíkova 147/77, Praha, 18600;22213406;NULL;3;objekt k bydlení;NULL;1;3;1;S výtahem
22350241;Sokolovská 161/71, Praha, 18600;22213520;NULL;3;objekt k bydlení;NULL;1;0;1;S výtahem
22350276;Křižíkova 165/45, Praha, 18600;22213554;NULL;3;objekt k bydlení;NULL;1;7;1;S výtahem
22350390;Křižíkova 176/27, Praha, 18600;22213660;2011-06-30T00:00:00;6;bytový dům;450;5;9;2;Bez výtahu
22350438;Křižíkova 179/26, Praha, 18600;22213694;NULL;6;bytový dům;NULL;1;18;1;S výtahem
22350501;Vítkova 186/28, Praha, 18600;22213759;NULL;3;objekt k bydlení;NULL;1;10;2;Bez výtahu
22350535;Vítkova 189/17, Praha, 18600;22213783;NULL;3;objekt k bydlení;NULL;1;14;2;Bez výtahu
22350543;Kollárova 190/12, Praha, 18600;22213791;NULL;3;objekt k bydlení;NULL;NULL;15;NULL;NULL
22350560;Pobřežní 192/52, Praha, 18600;22213813;NULL;14;stavba pro administrativu;NULL;1;0;9;Nezjištěno
22350632;Vítkova 197/11, Praha, 18600;22213864;NULL;3;objekt k bydlení;NULL;NULL;49;NULL;NULL
22350969;Křižíkova 226/16, Praha, 18600;22214127;NULL;3;objekt k bydlení;NULL;1;10;1;S výtahem
22351019;Karlínské náměstí 235/13, Praha, 18600;22214178;NULL;3;objekt k bydlení;NULL;1;25;2;Bez výtahu
22351035;Křižíkova 237/36a, Praha, 18600;22214194;NULL;1;průmyslový objekt;NULL;1;0;2;Bez výtahu
22351043;Karlínské náměstí 238/6, Praha, 18600;22214208;2014-09-01T00:00:00;3;objekt k bydlení;50;5;9;1;S výtahem
22351175;Peckova 251/1, Praha, 18600;22214321;NULL;6;bytový dům;NULL;5;7;2;Bez výtahu
22351221;Křižíkova 255/7, Praha, 18600;22214364;NULL;6;bytový dům;NULL;1;11;1;S výtahem
22351256;Za Poříčskou bránou 258/9, Praha, 18600;22214399;NULL;3;objekt k bydlení;NULL;1;13;2;Bez výtahu
22351302;Křižíkova 263/24, Praha, 18600;22214445;2011-06-30T00:00:00;6;bytový dům;0;5;9;1;S výtahem
22351396;Křižíkova 270/13, Praha, 18600;22214518;NULL;3;objekt k bydlení;NULL;1;8;2;Bez výtahu
22351574;Vítkova 286/5, Praha, 18600;22214674;NULL;3;objekt k bydlení;NULL;1;11;2;Bez výtahu
22351736;Peckova 301/13, Praha, 18600;22214810;NULL;5;objekt občanské vybavenosti;NULL;1;0;9;Nezjištěno
22351744;Pobřežní 304/10, Praha, 18600;22214828;NULL;5;objekt občanské vybavenosti;NULL;NULL;0;NULL;NULL
22351981;Křižíkova 330/89, Praha, 18600;22215026;NULL;3;objekt k bydlení;NULL;1;6;2;Bez výtahu
22352104;Sokolovská 341/27, Praha, 18600;22215123;NULL;3;objekt k bydlení;NULL;1;6;2;Bez výtahu
22352147;Křižíkova 345/4, Praha, 18600;22215166;NULL;5;objekt občanské vybavenosti;NULL;1;0;9;Nezjištěno
22352422;Pobřežní 380/2, Praha, 18600;22215433;NULL;3;objekt k bydlení;NULL;1;13;2;Bez výtahu
22352449;Za Poříčskou bránou 382/16, Praha, 18600;22215450;NULL;6;bytový dům;NULL;1;1;1;S výtahem
22352490;Křižíkova 386/105, Praha, 18600;22215492;NULL;3;objekt k bydlení;NULL;1;25;2;Bez výtahu
22352538;Za Poříčskou bránou 390/18, Praha, 18600;22215522;NULL;3;objekt k bydlení;NULL;1;7;2;Bez výtahu
22352678;Pernerova 403/36, Praha, 18600;22215654;NULL;3;objekt k bydlení;NULL;1;11;2;Bez výtahu
22352716;Březinova 407/27, Praha, 18600;22215697;NULL;6;bytový dům;NULL;1;10;2;Bez výtahu
22352741;Kollárova 410/4, Praha, 18600;22215727;NULL;3;objekt k bydlení;NULL;1;12;2;Bez výtahu
22352902;Křižíkova 424/127, Praha, 18600;22215859;NULL;6;bytový dům;NULL;4;8;2;Bez výtahu
22352961;Sokolovská 428/130, Praha, 18600;22215891;NULL;6;bytový dům;NULL;1;11;1;S výtahem
22352970;Sokolovská 429/132, Praha, 18600;22215905;NULL;3;objekt k bydlení;NULL;1;8;2;Bez výtahu
22353020;Kaizlovy sady 433/9, Praha, 18600;22215948;NULL;3;objekt k bydlení;NULL;1;19;1;S výtahem
22353062;Urxova 436/10, Praha, 18600;22215972;NULL;6;bytový dům;NULL;1;9;2;Bez výtahu
22353372;Křižíkova 459/72, Praha, 18600;22216201;2014-08-04T00:00:00;6;bytový dům;130;5;18;1;S výtahem
22353429;Lyčkovo náměstí 461/10, Praha, 18600;22216227;NULL;3;objekt k bydlení;NULL;1;8;2;Bez výtahu
22353542;Urxova 470/1, Praha, 18600;22216316;NULL;3;objekt k bydlení;NULL;1;13;2;Bez výtahu
22353615;Šaldova 476/9, Praha, 18600;22216375;NULL;3;objekt k bydlení;NULL;1;16;2;Bez výtahu
22353704;Lyčkovo náměstí 482/3, Praha, 18600;22216430;NULL;6;bytový dům;NULL;1;12;2;Bez výtahu
22353798;Křižíkova 489/66, Praha, 18600;22216502;NULL;6;bytový dům;NULL;1;23;1;S výtahem
22353950;Šaldova 504/24, Praha, 18600;22216651;NULL;3;objekt k bydlení;NULL;1;10;2;Bez výtahu
22354000;Lyčkovo náměstí 508/7, Praha, 18600;22216693;NULL;6;bytový dům;NULL;1;11;2;Bez výtahu
22354123;Kubova 515/8, Praha, 18600;22216766;NULL;3;objekt k bydlení;NULL;1;5;2;Bez výtahu
22354212;Na střelnici 522/6, Praha, 18600;22216839;NULL;6;bytový dům;NULL;6;18;2;Bez výtahu
22354280;Na střelnici 528/4, Praha, 18600;22216898;NULL;6;bytový dům;NULL;1;8;2;Bez výtahu
22354409;Pernerova 536/61, Praha, 18600;22216979;NULL;6;bytový dům;NULL;7;39;NULL;NULL
22354573;Hybešova 550/11, Praha, 18600;22217100;NULL;6;bytový dům;NULL;1;28;2;Bez výtahu
22354662;Křižíkova 557/48a, Praha, 18600;22215174;NULL;3;objekt k bydlení;NULL;5;67;1;S výtahem
22354701;K Olympiku 563/2, Praha, 18600;22217215;NULL;3;objekt k bydlení;NULL;1;14;2;Bez výtahu
22354735;K Olympiku 566/8, Praha, 18600;22217240;NULL;3;objekt k bydlení;NULL;1;9;9;Nezjištěno
22354743;K Olympiku 567/10, Praha, 18600;22217258;NULL;3;objekt k bydlení;NULL;1;9;2;Bez výtahu
22354913;Nekvasilova 584/17, Praha, 18600;22217428;NULL;6;bytový dům;NULL;1;32;2;Bez výtahu
22354964;Nekvasilova 589/5, Praha, 18600;22217495;NULL;6;bytový dům;NULL;NULL;123;NULL;NULL
22354999;Molákova 592/20, Praha, 18600;22217509;2011-06-30T00:00:00;6;bytový dům;2294;9;230;1;S výtahem
22355006;Molákova 593/18, Praha, 18600;22217509;2011-06-30T00:00:00;6;bytový dům;2294;9;230;1;S výtahem
22355031;Molákova 596/12, Praha, 18600;22217509;2011-06-30T00:00:00;6;bytový dům;2294;9;230;1;S výtahem
22355057;Molákova 598/8, Praha, 18600;22217509;2011-06-30T00:00:00;6;bytový dům;2294;9;230;1;S výtahem
22355219;Molákova 614/36a, Praha, 18600;22217720;NULL;5;objekt občanské vybavenosti;NULL;NULL;0;NULL;NULL
22355367;Pod plynojemem č.ev. 164, Praha, 18600;22218131;NULL;19;jiná stavba;NULL;1;0;2;Bez výtahu
22704825;Prvního pluku 33/9, Praha, 18600;22212361;NULL;19;jiná stavba;NULL;1;0;2;Bez výtahu
22773576;Sokolovská 204/11, Praha, 18600;22213929;NULL;11;stavba ubytovacího zařízení;1512;10;0;2;Bez výtahu
25942611;Sokolovská 651/136a, Praha, 18600;25449664;2004-01-29T00:00:00;14;stavba pro administrativu;1848;7;0;2;Bez výtahu
26114691;Pernerova 653/16a, Praha, 18600;25616609;2005-02-07T00:00:00;12;stavba pro výrobu a skladování;NULL;1;0;2;Bez výtahu
27783839;Karolinská 661/4, Praha, 18600;27255522;2009-03-27T00:00:00;14;stavba pro administrativu;5715;10;0;2;Bez výtahu
40858634;Rohanské nábřeží 670/17, Praha, 18600;51178427;2012-05-10T00:00:00;14;stavba pro administrativu;NULL;11;NULL;NULL;NULL
40858651;Rohanské nábřeží 670/19, Praha, 18600;51178427;2012-05-10T00:00:00;14;stavba pro administrativu;NULL;11;NULL;NULL;NULL
73003298;Rohanské nábřeží 678/23, Praha, 18600;78339910;2014-07-08T00:00:00;14;stavba pro administrativu;4700;8;0;1;S výtahem
75789485;U Mlýnského kanálu 687/5, Praha, 18600;88444724;2016-12-21T00:00:00;6;bytový dům;2154;11;83;1;S výtahem
78506506;Sokolovská 694/98, Praha, 18600;94631646;2018-06-13T00:00:00;6;bytový dům;4092;12;116;1;S výtahem
78506824;Sokolovská 694/102, Praha, 18600;94631646;2018-06-13T00:00:00;6;bytový dům;4092;12;116;1;S výtahem
22348646;Hybešova 14/10, Praha, 18600;22212191;NULL;5;objekt občanské vybavenosti;NULL;1;0;2;Bez výtahu
22348662;Pobřežní 18/16, Praha, 18600;22212213;NULL;5;objekt občanské vybavenosti;NULL;1;0;9;Nezjištěno
