CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
2308525;105;Fyz.osoba ost.;NULL;20;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
2358093;112;Společnost s r.o.;1;5;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2368838;112;Společnost s r.o.;10;73;47710;[47710] Maloobchod s oděvy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2409267;112;Společnost s r.o.;NULL;28;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
2437562;112;Společnost s r.o.;NULL;38;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
2468212;112;Společnost s r.o.;NULL;40;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
2487179;112;Společnost s r.o.;1;38;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2586053;112;Společnost s r.o.;1;86;4778;[4778] Ostatní maloobchod s novým zbožím ve specializ. prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2695936;112;Společnost s r.o.;1;55;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2701065;112;Společnost s r.o.;1;58;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2887479;101;Fyz. os. podnikající dle živ. zákona;0;40;96040;[96040] Činnosti pro osobní a fyzickou pohodu;S;[S] Ostatní činnosti
2917327;421;Odšt.záv.zahr.práv.os.;20;86;47710;[47710] Maloobchod s oděvy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2985730;112;Společnost s r.o.;1;82;4540;[4540] Obchod, opravy, údržba motocyklů, jejich dílů, příslušenství;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
3054969;112;Společnost s r.o.;1;76;74200;[74200] Fotografické činnosti;M;[M] Profesní, vědecké a technické činnosti
3055671;112;Společnost s r.o.;1;8;58140;[58140] Vydávání časopisů a ostatních periodických publikací;J;[J] Informační a komunikační činnosti
3061523;145;Společen.vlast.jednot.;NULL;22;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
3084051;112;Společnost s r.o.;NULL;56;13;[13] Výroba textilií;C;[C] Zpracovatelský průmysl
3084051;112;Společnost s r.o.;NULL;56;13;[13] Výroba textilií;C;[C] Zpracovatelský průmysl
